Image,F1,Jaccard,Recall,Precision
833.png,0.8659450457951708,0.7635829662261381,0.9154929577464789,0.8214849921011058
2069.png,0.8404112650871703,0.7247494217424827,1.0,0.7247494217424827
3038.png,0.596212583995113,0.4247171453437772,0.7601246105919003,0.4904522613065327
1169.png,0.9576365663322184,0.9187165775401069,0.9256465517241379,0.9919168591224018
501.png,0.930635838150289,0.8702702702702703,0.9484536082474226,0.9134751773049645
31.png,0.9585253456221198,0.9203539823008849,0.9211691762621789,0.9990393852065321
2242.png,0.9068228105906314,0.8295295761527713,0.8583132530120482,0.9611440906637885
1014.png,0.8932676518883416,0.8071216617210683,0.8071216617210683,1.0
1322.png,0.6383763837638377,0.46883468834688347,0.9153439153439153,0.49008498583569404
1779.png,0.7926829268292683,0.6565656565656566,0.6824146981627297,0.9454545454545454
1217.png,0.9037800687285223,0.8244514106583072,0.842948717948718,0.9740740740740741
1956.png,0.8722002635046112,0.7733644859813084,0.7733644859813084,1.0
108.png,0.937844611528822,0.8829636621047664,0.8837978271138404,0.99893219434063
1258.png,0.9437086092715231,0.8934169278996865,0.9693877551020408,0.9193548387096774
571.png,0.9712858926342073,0.9441747572815534,0.9676616915422885,0.974937343358396
1888.png,0.0,0.0,0.0,0.0
35.png,0.8592057761732852,0.7531645569620253,0.967479674796748,0.7727272727272727
2162.png,0.8451511991657976,0.7318284424379232,0.9833181680315438,0.7410285714285715
2582.png,0.9034866093986862,0.823963133640553,0.8621022179363549,0.9490445859872612
1279.png,0.20233998623537508,0.1125574272588055,0.11290322580645161,0.9735099337748344
749.png,0.8422978412001464,0.7275600505689002,0.8554440728353772,0.8295495495495495
2122.png,0.0,0.0,0.0,0.0
2928.png,0.8828240878077722,0.7902283590015932,0.9411764705882353,0.8312849162011173
74.png,0.958951628444787,0.9211403184005924,0.9287047405748413,0.9912350597609562
788.png,0.8342318059299191,0.715606936416185,0.7328913094956192,0.9680950891460745
707.png,0.9718023911572298,0.9451513821851689,0.9624664879356568,0.9813211845102505
1678.png,0.9481915933528836,0.9014869888475836,0.9566074950690335,0.939922480620155
909.png,0.8303719800588011,0.7099453551912568,0.7127496159754224,0.994488671157379
218.png,0.8389982110912343,0.7226502311248074,0.9852941176470589,0.7305295950155763
2046.png,0.7413405308142149,0.5889921372408864,0.5911047345767575,0.9939686369119421
3.png,0.930063578564941,0.8692699490662139,0.9653092006033183,0.8973010865755345
