epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.810234546661377,0.11644897609949112,0.883551299571991,1e-04,0.42749422788619995,0.01855238899588585,0.981417715549469
1,0.9650710821151733,0.21411702036857605,0.7858831286430359,1e-04,0.9247737526893616,0.021350322291254997,0.9785643815994263
2,0.9767991304397583,0.28485026955604553,0.715149998664856,1e-04,0.8114234805107117,0.026653803884983063,0.9732481241226196
3,0.9833299517631531,0.36614879965782166,0.633851170539856,1e-04,0.9664849042892456,0.15054577589035034,0.8482958078384399
4,0.9872978329658508,0.4542068839073181,0.5457930564880371,1e-04,0.9834907054901123,0.12840472161769867,0.8706396818161011
5,0.9887872934341431,0.5218688249588013,0.4781312048435211,1e-04,0.8861148953437805,0.19278936088085175,0.8074485063552856
6,0.9904407858848572,0.5910752415657043,0.40892457962036133,1e-04,0.9844471216201782,0.18886244297027588,0.8102909922599792
7,0.9913241863250732,0.6436076760292053,0.3563922941684723,1e-04,0.9904247522354126,0.5752254724502563,0.4235759973526001
8,0.9921514391899109,0.6873801350593567,0.3126199543476105,1e-04,0.9907710552215576,0.6065231561660767,0.39325132966041565
9,0.9926906824111938,0.720031201839447,0.27996885776519775,1e-04,0.9900557398796082,0.6474494934082031,0.3517899811267853
10,0.9931321740150452,0.7483493685722351,0.25165054202079773,1e-04,0.9908900856971741,0.6656176447868347,0.33330634236335754
11,0.9935428500175476,0.7708214521408081,0.22917845845222473,1e-04,0.9903392195701599,0.637279212474823,0.35823380947113037
12,0.9940028786659241,0.7923169136047363,0.2076832354068756,1e-04,0.9905512928962708,0.6560454368591309,0.34260043501853943
13,0.9943675994873047,0.8107871413230896,0.18921266496181488,1e-04,0.9870930314064026,0.639572024345398,0.3602701425552368
14,0.9946833252906799,0.824489951133728,0.1755100041627884,1e-04,0.9904601573944092,0.7213801145553589,0.2769981026649475
15,0.9945136904716492,0.8241803646087646,0.1758195161819458,1e-04,0.9902358651161194,0.6439031362533569,0.35508856177330017
16,0.9950778484344482,0.8445236682891846,0.15547649562358856,1e-04,0.9921399354934692,0.7551071047782898,0.24405914545059204
17,0.9954761266708374,0.8600425124168396,0.13995762169361115,1e-04,0.9929064512252808,0.7817659378051758,0.21647681295871735
18,0.9955584406852722,0.865144670009613,0.13485512137413025,1e-04,0.9927850961685181,0.7709900140762329,0.22777225077152252
19,0.9956759810447693,0.8708875775337219,0.12911228835582733,1e-04,0.992321252822876,0.7599685192108154,0.24010393023490906
